City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Yellowknife,62.456,-114.3525,0.0,65,75,9.22,CA,1614803321
Ilulissat,69.2167,-51.1,33.8,51,75,10.36,GL,1614803332
George Town,5.4112,100.3354,81.0,88,20,4.38,MY,1614803139
Rikitea,-23.1203,-134.9692,79.05,77,56,9.06,PF,1614803332
Ushuaia,-54.8,-68.3,57.2,44,40,3.44,AR,1614803199
Clyde River,70.4692,-68.5914,-11.2,58,20,1.32,CA,1614803333
Mataura,-46.1927,168.8643,54.0,75,36,8.01,NZ,1614803333
Necochea,-38.5473,-58.7368,82.0,65,98,5.99,AR,1614803333
Saint George,37.1041,-113.5841,69.01,11,1,4.61,US,1614803301
Vaini,-21.2,-175.2,78.8,89,75,11.5,TO,1614803333
Saint Paul Harbor,57.79,-152.4072,35.6,55,1,19.57,US,1614803036
Kapaa,22.0752,-159.319,73.4,64,20,18.41,US,1614803334
Salalah,17.0151,54.0924,75.2,83,0,2.3,OM,1614803052
Hearst,49.6835,-83.6665,10.4,79,100,6.91,CA,1614803334
Jamestown,42.097,-79.2353,44.01,71,90,13.24,US,1614803334
Butaritari,3.0707,172.7902,81.37,82,4,16.42,KI,1614803334
Bilma,18.6853,12.9164,71.67,9,0,8.21,NE,1614803334
Al Bardīyah,31.7561,25.0865,55.4,65,0,12.62,LY,1614803334
Magistral'nyy,56.1725,107.4458,-26.55,82,34,2.84,RU,1614803334
Tasiilaq,65.6145,-37.6368,30.2,29,90,18.41,GL,1614803335
Santiago,-33.4569,-70.6483,91.0,29,20,6.91,CL,1614803304
Bilibino,68.0546,166.4372,-4.04,81,100,6.85,RU,1614803335
Punta Arenas,-53.15,-70.9167,64.4,34,20,16.11,CL,1614803335
North Vernon,39.0062,-85.6236,62.6,31,1,9.22,US,1614803336
Muroto-misakicho,33.2833,134.15,53.29,74,92,12.26,JP,1614803336
Avarua,-21.2078,-159.775,82.4,78,20,4.61,CK,1614803336
Lompoc,34.6391,-120.4579,55.4,67,90,5.75,US,1614803336
Cherskiy,68.75,161.3,-17.97,89,100,7.16,RU,1614803336
Newcastle,-32.9272,151.7765,63.0,100,40,4.61,AU,1614803336
Quesnel,52.9999,-122.5029,39.2,48,1,18.41,CA,1614803336
Bredasdorp,-34.5322,20.0403,68.0,88,72,5.75,ZA,1614803337
Severo-Kuril'sk,50.6789,156.125,15.1,90,99,38.39,RU,1614803337
Mahébourg,-20.4081,57.7,78.8,83,40,50.64,MU,1614803337
New Norfolk,-42.7826,147.0587,62.01,74,99,1.01,AU,1614803337
Carauari,-4.8828,-66.8958,84.45,62,65,4.29,BR,1614803338
Hermanus,-34.4187,19.2345,68.0,90,96,9.37,ZA,1614803338
Miraflores,19.2167,-98.8083,78.8,19,20,6.91,MX,1614803338
Atuona,-9.8,-139.0333,79.52,69,1,10.87,PF,1614803338
Esperance,-33.8667,121.9,64.4,82,75,9.22,AU,1614803339
Castro,-24.7911,-50.0119,66.92,93,100,4.81,BR,1614803339
Khatanga,71.9667,102.5,-38.07,88,0,6.06,RU,1614803052
Dovolnoye,54.4958,79.6671,11.19,92,100,17.18,RU,1614803339
Tabou,4.423,-7.3528,80.01,87,99,4.92,CI,1614803339
Barrow,71.2906,-156.7887,-16.6,76,90,10.36,US,1614803340
Busselton,-33.65,115.3333,71.01,87,100,5.01,AU,1614803340
Dunedin,-45.8742,170.5036,55.0,70,35,10.0,NZ,1614803340
La Libertad,-2.2333,-80.9,82.4,78,75,5.75,EC,1614803341
Laas,46.6166,10.7002,44.01,80,0,4.61,IT,1614803341
Cape Town,-33.9258,18.4232,73.0,88,75,14.97,ZA,1614803341
Yangi Marg`ilon,40.4272,71.7189,46.4,57,78,6.91,UZ,1614803341
Akureyri,65.6835,-18.0878,32.0,86,40,4.54,IS,1614803341
Ponta do Sol,32.6667,-17.1,57.0,62,100,1.99,PT,1614803341
Qaanaaq,77.484,-69.3632,-6.34,83,47,10.16,GL,1614803341
Novovarshavka,54.1721,74.6946,24.21,94,100,16.06,RU,1614803341
Khuzhir,53.1939,107.3397,-9.26,82,0,8.63,RU,1614803342
Chokurdakh,70.6333,147.9167,-26.5,86,100,6.53,RU,1614803342
Arraial do Cabo,-22.9661,-42.0278,84.2,69,0,13.8,BR,1614803342
Torbay,47.6666,-52.7314,25.0,68,75,17.27,CA,1614803343
Saint Anthony,45.0205,-93.218,48.2,42,1,3.44,US,1614803343
Ostrovnoy,68.0531,39.5131,17.8,87,100,10.83,RU,1614803343
Hong Kong,22.2855,114.1577,66.99,84,74,12.3,HK,1614803075
Kushtagi,15.7667,76.2,74.23,27,0,9.91,IN,1614803343
Igarka,67.4667,86.5833,-15.25,80,100,15.3,RU,1614803343
Xiantao,30.3833,113.4,46.18,90,0,6.58,CN,1614803344
Constitución,-35.3333,-72.4167,71.46,58,1,14.76,CL,1614803344
Antalaha,-14.9003,50.2788,76.84,86,78,3.69,MG,1614803344
Lufilufi,-13.8745,-171.5986,87.8,70,20,8.05,WS,1614803344
